network,X0,P_high,X_final_mean
grid,0.0,0.04,0.04
grid,0.05,0.2,0.20081632653061224
grid,0.1,0.64,0.64
grid,0.15000000000000002,0.84,0.8408163265306122
grid,0.2,1.0,1.0
grid,0.25,1.0,1.0
grid,0.30000000000000004,1.0,1.0
grid,0.35000000000000003,1.0,1.0
grid,0.4,1.0,1.0
grid,0.45,1.0,1.0
grid,0.5,1.0,1.0
grid,0.55,1.0,1.0
grid,0.6000000000000001,1.0,1.0
grid,0.65,1.0,1.0
grid,0.7000000000000001,1.0,1.0
grid,0.75,1.0,1.0
grid,0.8,1.0,1.0
grid,0.8500000000000001,1.0,1.0
grid,0.9,1.0,1.0
grid,0.9500000000000001,1.0,1.0
grid,1.0,1.0,1.0
small_world,0.0,0.0,0.0
small_world,0.05,0.04,0.04
small_world,0.1,0.04,0.04
small_world,0.15000000000000002,0.24,0.24
small_world,0.2,0.76,0.76
small_world,0.25,0.84,0.84
small_world,0.30000000000000004,1.0,1.0
small_world,0.35000000000000003,1.0,1.0
small_world,0.4,1.0,1.0
small_world,0.45,1.0,1.0
small_world,0.5,1.0,1.0
small_world,0.55,1.0,1.0
small_world,0.6000000000000001,1.0,1.0
small_world,0.65,1.0,1.0
small_world,0.7000000000000001,1.0,1.0
small_world,0.75,1.0,1.0
small_world,0.8,1.0,1.0
small_world,0.8500000000000001,1.0,1.0
small_world,0.9,1.0,1.0
small_world,0.9500000000000001,1.0,1.0
small_world,1.0,1.0,1.0
ER,0.0,0.0,0.0
ER,0.05,0.0,0.0
ER,0.1,0.0,0.0
ER,0.15000000000000002,0.0,0.0
ER,0.2,0.0,0.0
ER,0.25,0.04,0.0496
ER,0.30000000000000004,0.12,0.1416
ER,0.35000000000000003,0.16,0.20620000000000002
ER,0.4,0.84,0.8434
ER,0.45,0.96,0.9598
ER,0.5,1.0,1.0
ER,0.55,1.0,0.9998
ER,0.6000000000000001,1.0,1.0
ER,0.65,1.0,1.0
ER,0.7000000000000001,1.0,0.9998
ER,0.75,1.0,1.0
ER,0.8,1.0,1.0
ER,0.8500000000000001,1.0,0.9998
ER,0.9,1.0,1.0
ER,0.9500000000000001,1.0,1.0
ER,1.0,1.0,1.0
BA,0.0,0.0,0.0
BA,0.05,0.0,0.0
BA,0.1,0.0,0.0
BA,0.15000000000000002,0.04,0.04
BA,0.2,0.0,0.004
BA,0.25,0.0,0.0022
BA,0.30000000000000004,0.08,0.08900000000000001
BA,0.35000000000000003,0.2,0.2218
BA,0.4,0.4,0.41659999999999997
BA,0.45,0.44,0.4514
BA,0.5,0.52,0.5451999999999999
BA,0.55,0.8,0.8108
BA,0.6000000000000001,0.84,0.8472
BA,0.65,0.88,0.8868
BA,0.7000000000000001,0.92,0.9225999999999999
BA,0.75,0.92,0.9262
BA,0.8,0.88,0.8835999999999999
BA,0.8500000000000001,1.0,1.0
BA,0.9,1.0,1.0
BA,0.9500000000000001,1.0,1.0
BA,1.0,1.0,1.0
